YBL005W-A	0
YBL005W-B	7276
YBL006C	1596
YBL006W-A	20
YBL007C	20062
YBL008W	4568
YBL008W-A	14
YBL009W	4232
YBL010C	1125
YBL011W	8645
YBL012C	4
YBL013W	621
YBL014C	7140
YBL015W	2557
YBL016W	4173
YBL017C	27429
YBL018C	243
YBL019W	918
YBL020W	10523
YBL021C	477
YBL022C	21105
YBL023C	4018
YBL024W	14048
YBL025W	706
YBL026W	3123
YBL027W	26061
YBL028C	2686
YBL029C-A	1455
YBL029W	780
YBL030C	11702
YBL031W	870
YBL032W	8355
YBL033C	3685
YBL034C	6956
YBL035C	4447
YBL036C	4674
YBL037W	2776
YBL038W	2615
YBL039C	25769
YBL039C-A	0
YBL039W-B	431
YBL040C	5835
YBL041W	7942
YBL042C	10949
YBL043W	724
YBL044W	18
YBL045C	7631
YBL046W	1952
YBL047C	33111
YBL048W	359
YBL049W	1809
YBL050W	5167
YBL051C	4597
YBL052C	3089
YBL053W	5
YBL054W	4907
YBL055C	4011
YBL056W	9364
YBL057C	3758
YBL058W	8379
YBL059C-A	1276
YBL059W	792
YBL060W	2677
YBL061C	6531
YBL062W	9
YBL063W	3065
YBL064C	10748
YBL065W	258
YBL066C	4881
YBL067C	6342
YBL068W	3082
YBL068W-A	0
YBL069W	2848
YBL070C	14
YBL071C	40
YBL071C-B	42
YBL071W-A	3988
YBL072C	10095
YBL073W	9
YBL074C	1541
YBL075C	23273
YBL076C	55512
YBL077W	8
YBL078C	446
YBL079W	22056
YBL080C	1462
YBL081W	2336
YBL082C	2808
YBL083C	108
YBL084C	3299
YBL085W	7005
YBL086C	2352
YBL087C	18315
YBL088C	9370
YBL089W	3598
YBL090W	1300
YBL091C	6733
YBL091C-A	911
YBL092W	33497
YBL093C	6574
YBL094C	87
YBL095W	1911
YBL096C	84
YBL097W	1589
YBL098W	2431
YBL099W	22348
YBL100C	3
YBL100W-A	0
YBL100W-B	1294
YBL100W-C	29
YBL101C	9485
YBL102W	3795
YBL103C	2269
YBL104C	3501
YBL105C	8332
YBL106C	1147
YBL107C	1409
YBL107W-A	0
YBL108C-A	0
YBL108W	0
YBL109W	23
YBL111C	0
YBL112C	0
YBL113C	486
YBL113W-A	0
YBR001C	5692
YBR002C	2353
YBR003W	4388
YBR004C	3262
YBR005W	1793
YBR006W	5146
YBR007C	3580
YBR008C	2491
YBR009C	6952
YBR010W	6454
YBR011C	65701
YBR012C	3239
YBR012W-A	0
YBR012W-B	3620
YBR013C	497
YBR014C	1455
YBR015C	17824
YBR016W	2941
YBR017C	19505
YBR018C	399
YBR019C	579
YBR020W	546
YBR021W	3836
YBR022W	443
YBR023C	23609
YBR024W	1560
YBR025C	27685
YBR026C	3678
YBR027C	81
YBR028C	3210
YBR029C	10090
YBR030W	3513
YBR031W	34640
YBR032W	6
YBR033W	1346
YBR034C	11846
YBR035C	4466
YBR036C	10989
YBR037C	1406
YBR038W	4234
YBR039W	6912
YBR040W	524
YBR041W	7537
YBR042C	2681
YBR043C	3704
YBR044C	2194
YBR045C	1996
YBR046C	3283
YBR047W	828
YBR048W	21931
YBR049C	5553
YBR050C	473
YBR051W	34
YBR052C	3285
YBR053C	4855
YBR054W	17967
YBR055C	5259
YBR056C-B	18
YBR056W	6002
YBR056W-A	403
YBR057C	1619
YBR058C	5713
YBR058C-A	1185
YBR059C	9595
YBR060C	3981
YBR061C	3234
YBR062C	536
YBR063C	3678
YBR064W	2
YBR065C	3663
YBR066C	1660
YBR067C	15672
YBR068C	22506
YBR069C	26439
YBR070C	2712
YBR071W	5560
YBR072C-A	31
YBR072W	37317
YBR073W	20849
YBR074W	7600
YBR076C-A	1181
YBR076W	542
YBR077C	2321
YBR078W	61729
YBR079C	27375
YBR080C	9084
YBR081C	6994
YBR082C	16312
YBR083W	3903
YBR084C-A	28287
YBR084W	21978
YBR085C-A	8315
YBR085W	1426
YBR086C	22370
YBR087W	3244
YBR088C	10559
YBR089C-A	2327
YBR089W	28
YBR090C	214
YBR091C	536
YBR092C	23226
YBR093C	9044
YBR094W	4456
YBR095C	2241
YBR096W	9243
YBR097W	4208
YBR098W	1698
YBR099C	80
YBR101C	2799
YBR102C	3467
YBR103C-A	14
YBR103W	2718
YBR104W	2611
YBR105C	13138
YBR106W	19057
YBR107C	999
YBR108W	3277
YBR109C	7617
YBR109W-A	350
YBR110W	5863
YBR111C	6105
YBR111W-A	552
YBR112C	6957
YBR113W	19
YBR114W	5830
YBR115C	7685
YBR116C	56
YBR117C	1045
YBR118W	51580
YBR119W	792
YBR120C	871
YBR121C	29378
YBR121C-A	0
YBR122C	4120
YBR123C	1901
YBR124W	65
YBR125C	3443
YBR126C	18354
YBR126W-A	130
YBR126W-B	2304
YBR127C	49006
YBR128C	458
YBR129C	1398
YBR130C	2615
YBR131C-A	1
YBR131W	2810
YBR132C	3644
YBR133C	5058
YBR134W	25
YBR135W	3681
YBR136W	10269
YBR137W	1298
YBR138C	885
YBR139W	11917
YBR140C	34952
YBR141C	1600
YBR141W-A	25
YBR142W	10039
YBR143C	20214
YBR144C	17
YBR145W	1145
YBR146W	4588
YBR147W	307
YBR148W	1538
